HarmonicCentrality,Frequency
(33500,1)
(30750,1)
(29750,1)
(27250,1)
(25950,1)
(25850,1)
(25650,1)
(25000,1)
(24850,1)
(24600,1)
(24550,1)
(24200,2)
(23450,1)
(23200,1)
(22750,2)
(22650,1)
(22600,3)
(22450,1)
(22300,1)
(22100,1)
(22000,1)
(21850,1)
(21700,1)
(21650,2)
(21550,2)
(21500,1)
(21350,2)
(21200,3)
(21100,1)
(21050,1)
(21000,3)
(20950,2)
(20900,1)
(20850,2)
(20800,2)
(20700,1)
(20650,3)
(20600,1)
(20550,2)
(20500,1)
(20450,1)
(20400,2)
(20350,4)
(20300,10)
(20250,2)
(20200,4)
(20150,3)
(20100,2)
(20000,3)
(19950,4)
(19900,9)
(19850,6)
(19800,3)
(19750,5)
(19700,2)
(19600,5)
(19550,7)
(19500,3)
(19450,2)
(19400,3)
(19350,8)
(19300,3)
(19250,4)
(19200,5)
(19150,5)
(19050,4)
(19000,4)
(18950,2)
(18900,4)
(18850,4)
(18800,3)
(18750,5)
(18700,6)
(18650,1)
(18600,4)
(18550,6)
(18500,1)
(18450,6)
(18400,3)
(18350,2)
(18300,11)
(18250,4)
(18200,6)
(18150,31)
(18100,6)
(18050,6)
(18000,12)
(17950,5)
(17900,29)
(17850,8)
(17800,5)
(17750,11)
(17700,11)
(17650,5)
(17600,15)
(17550,7)
(17500,8)
(17450,12)
(17400,7)
(17350,25)
(17300,17)
(17250,15)
(17200,16)
(17150,15)
(17100,20)
(17050,44)
(17000,21)
(16950,16)
(16900,22)
(16850,19)
(16800,15)
(16750,14)
(16700,16)
(16650,16)
(16600,29)
(16550,26)
(16500,25)
(16450,24)
(16400,20)
(16350,24)
(16300,38)
(16250,23)
(16200,22)
(16150,31)
(16100,129)
(16050,34)
(16000,16)
(15950,15)
(15900,25)
(15850,31)
(15800,35)
(15750,22)
(15700,42)
(15650,49)
(15600,142)
(15550,27)
(15500,61)
(15450,30)
(15400,547)
(15350,162)
(15300,15)
(15250,16)
(15200,14)
(15150,25)
(15100,17)
(15050,101)
(15000,29)
(14950,28)
(14900,22)
(14850,11)
(14800,31)
(14750,38)
(14700,13)
(14650,28)
(14600,282)
(14550,15)
(14500,21)
(14450,26)
(14400,38)
(14350,17)
(14300,35)
(14250,39)
(14200,27)
(14150,37)
(14100,33)
(14050,13)
(14000,70)
(13950,18)
(13900,30)
(13850,32)
(13800,31)
(13750,57)
(13700,34)
(13650,30)
(13600,63)
(13550,13)
(13500,24)
(13450,37)
(13400,34)
(13350,101)
(13300,21)
(13250,55)
(13200,201)
(13150,67)
(13100,63)
(13050,778)
(13000,72)
(12950,34)
(12900,37)
(12850,63)
(12800,118)
(12750,58)
(12700,65)
(12650,57)
(12600,67)
(12550,198)
(12500,212)
(12450,77)
(12400,50)
(12350,64)
(12300,34)
(12250,56)
(12200,86)
(12150,89)
(12100,29)
(12050,63)
(12000,121)
(11950,57)
(11900,82)
(11850,34)
(11800,62)
(11750,53)
(11700,81)
(11650,64)
(11600,94)
(11550,64)
(11500,168)
(11450,66)
(11400,1463)
(11350,276)
(11300,218)
(11250,100)
(11200,703)
(11150,47)
(11100,114)
(11050,100)
(11000,47)
(10950,1252)
(10900,47)
(10850,103)
(10800,83)
(10750,60)
(10700,103)
(10650,78)
(10600,107)
(10550,90)
(10500,48)
(10450,67)
(10400,151)
(10350,79)
(10300,146)
(10250,104)
(10200,67)
(10150,81)
(10100,114)
(10050,46)
(10000,212)
(9950,111)
(9900,210)
(9850,52)
(9800,41)
(9750,208)
(9700,352)
(9650,765)
(9600,68)
(9550,132)
(9500,92)
(9450,78)
(9400,89)
(9350,146)
(9300,109)
(9250,119)
(9200,101)
(9150,135)
(9100,113)
(9050,86)
(9000,149)
(8950,48)
(8900,72)
(8850,194)
(8800,541)
(8750,53)
(8700,200)
(8650,126)
(8600,157)
(8550,93)
(8500,63)
(8450,58)
(8400,139)
(8350,50)
(8300,179)
(8250,311)
(8200,126)
(8150,55)
(8100,88)
(8050,121)
(8000,67)
(7950,388)
(7900,41)
(7850,74)
(7800,133)
(7750,100)
(7700,183)
(7650,599)
(7600,53)
(7550,67)
(7500,544)
(7450,53)
(7400,196)
(7350,84)
(7300,166)
(7250,67)
(7200,128)
(7150,241)
(7100,115)
(7050,333)
(7000,72)
(6950,81)
(6900,97)
(6850,145)
(6800,123)
(6750,73)
(6700,150)
(6650,156)
(6600,106)
(6550,169)
(6500,96)
(6450,385)
(6400,131)
(6350,104)
(6300,109)
(6250,162)
(6200,203)
(6150,155)
(6100,152)
(6050,142)
(6000,840)
(5950,254)
(5900,205)
(5850,565)
(5800,394)
(5750,199)
(5700,195)
(5650,178)
(5600,246)
(5550,231)
(5500,1132)
(5450,361)
(5400,396)
(5350,155)
(5300,290)
(5250,209)
(5200,218)
(5150,233)
(5100,105)
(5050,167)
(5000,168)
(4950,202)
(4900,746)
(4850,152)
(4800,114)
(4750,204)
(4700,269)
(4650,200)
(4600,138)
(4550,167)
(4500,608)
(4450,107)
(4400,182)
(4350,146)
(4300,227)
(4250,167)
(4200,676)
(4150,412)
(4100,302)
(4050,182)
(4000,324)
(3950,221)
(3900,218)
(3850,195)
(3800,275)
(3750,196)
(3700,138)
(3650,415)
(3600,241)
(3550,291)
(3500,287)
(3450,230)
(3400,218)
(3350,315)
(3300,459)
(3250,3805)
(3200,236)
(3150,235)
(3100,189)
(3050,314)
(3000,344)
(2950,565)
(2900,378)
(2850,329)
(2800,610)
(2750,611)
(2700,397)
(2650,372)
(2600,499)
(2550,758)
(2500,613)
(2450,589)
(2400,367)
(2350,471)
(2300,431)
(2250,368)
(2200,415)
(2150,321)
(2100,330)
(2050,418)
(2000,426)
(1950,589)
(1900,1143)
(1850,654)
(1800,309)
(1750,297)
(1700,458)
(1650,644)
(1600,741)
(1550,949)
(1500,915)
(1450,917)
(1400,760)
(1350,857)
(1300,551)
(1250,828)
(1200,1235)
(1150,920)
(1100,975)
(1050,1033)
(1000,1228)
(950,2645)
(900,3019)
(850,2205)
(800,1666)
(750,994)
(700,1152)
(650,1016)
(600,1367)
(550,2199)
(500,2824)
(450,1375)
(400,1400)
(350,2728)
(300,4805)
(250,4558)
(200,5625)
(150,6034)
(100,11044)
(50,26185)
(0,174112)